Model,Manufacturer,Range_km,Battery_kWh,Price_USD
Tesla Model 3,Tesla,491,60.0,39000
Tata Nexon EV,Tata,465,40.5,18000
BYD Dolphin,BYD,427,44.9,21000
Volkswagen ID.4,Volkswagen,520,77.0,42000
Hyundai Kona EV,Hyundai,484,64.0,37000
